WKT,fid,COUNTRY,NAME,ADDR1,ADDR2,ADDR3,ADDR4,ADDR5,CAT_MOD,STATE
POINT (-64.8837304 17.7167418),40274,US,Fort Frederik Beach,"King St
Frederiksted, VI 00840
United States",,,,,travel_and_leisure.beach,PR
POINT (-70.2271307 43.5641295),40723,US,Crescent Beach,109 Bowery Beach Rd,"Cape Elizabeth, ME  04107",United States,,,travel_and_leisure.beach,ME
POINT (-90.7247194 35.1535475),40739,US,Beach,4514 AR-284,"Wynne, AR  72396",United States,,,travel_and_leisure.beach,AR
POINT (-80.1133651 26.0402786),46396,US,Green Street Beach,4399 N Surf Rd,"Hollywood, FL 33019",United States,,,travel_and_leisure.beach,FL
POINT (-74.0085196 40.1915778),48600,US,Avon By the Sea,,,,,,travel_and_leisure.beach,NJ
POINT (-94.8218093 29.3691572),48733,US,Texas City Dike,Texas City Dike,"Texas City, TX  77590",United States,,,travel_and_leisure.beach,TX
POINT (-80.1170673 42.1653999),49674,US,Goddard Beach,Peninsula Dr,"Erie, PA  16505",United States,,,travel_and_leisure.beach,PA
POINT (-66.4546214 18.4691494),50967,US,Palm palace,PR-686,"Manatí, PR  00674",United States,,,travel_and_leisure.beach,PR
POINT (-98.2252609 29.9051292),53340,US,Canyon Swim Beach #1,Canyon Lake,"Canyon Lake, TX",United States,,,travel_and_leisure.beach,TX
POINT (-68.7796212 44.2155088),61696,US,The Brook Beach,"Deer Isle, ME",United States,,,,travel_and_leisure.beach,ME
POINT (-81.7921765 26.1681667),63068,US,City of Naples Council,,,,,,travel_and_leisure.beach,FL
POINT (-69.003013 44.2957343),68070,US,Ducktrap River,98 Howe Point Rd,"Lincolnville, ME  04849",United States,,,travel_and_leisure.beach,ME
POINT (-91.699048 46.51326),71772,US,Lake Nebagamon Beach,11596 E Waterfront Dr,"Lake Nebagamon, WI  54849",United States,,,travel_and_leisure.beach,WI
POINT (144.774635 13.4888903),72243,US,Dungcas Beach,182 Trankilo St,Guam  96913,United States,,,travel_and_leisure.beach,PR
POINT (-69.093516 44.0400844),72390,US,Lucia Beach,182 Lucia Beach Rd,"Owls Head, ME  04854",United States,,,travel_and_leisure.beach,ME
POINT (-70.9890761 42.4133646),74025,US,Revere Beach,192 Revere Beach Blvd,"Revere, MA 02151",United States,,,travel_and_leisure.beach,MA
POINT (-80.2967548 41.6211932),77238,US,"Midway Beach Conneaut Lake, Pennsylvania",11357 Quigley Ln,"Conneaut Lake, PA  16316",United States,,,travel_and_leisure.beach,PA
POINT (-72.3108271 40.8982166),78314,US,Mecox Beach,535 Jobs Ln,"Bridgehampton, NY 11932",United States,,,travel_and_leisure.beach,NY
POINT (-97.366 27.277),81351,US,Isla del Padre Norte,Padre Island,TX,United States,,,travel_and_leisure.beach,TX
POINT (-82.6919353 27.4474404),82163,US,Coquina Beach,2650 Gulf Dr S,"Bradenton Beach, FL  34217",United States,,,travel_and_leisure.beach,FL
POINT (-80.0956535 26.1838331),83954,US,Marie and Stanley White Palm Avenue Portal,199 Palm Ave,"Lauderdale By The Sea, FL 33308",United States,,,travel_and_leisure.beach,FL
POINT (-75.3230011 38.9938339),85356,US,Big Stone Beach,"Milford, DE  19963",United States,,,,travel_and_leisure.beach,DE
POINT (-87.7489078 42.1381331),92973,US,Glencoe Beach,55 Hazel Ave,"Glencoe, IL  60022",United States,,,travel_and_leisure.beach,IL
POINT (-82.7130282 27.4973847),95382,US,Manatee Public Beach,4000 State Road 64 and Gulf Drive,"Holmes Beach, FL 34217",United States,,,travel_and_leisure.beach,FL
POINT (-156.9005973 20.9147106),95999,US,Shipwreck Beach,,,,,,travel_and_leisure.beach,HI
POINT (-91.370432 46.793349),113987,US,Port Wing Beach East,"Port Wing, WI  54865",United States,,,,travel_and_leisure.beach,WI
POINT (-73.9773527 40.302304),114973,US,The Jersey Shore,9 Ocean Ave,"Long Branch, NJ 07740",United States,,,travel_and_leisure.beach,NJ
POINT (-117.6062382 33.4052945),119550,US,Calafia Beach,250 Avenida Calafia,"San Clemente, CA  92672",United States,,,travel_and_leisure.beach,CA
POINT (-122.7394086 47.1493211),124210,US,Treble Point,Anderson Island,WA,United States,,,travel_and_leisure.beach,WA
POINT (-67.2513889 18.3291667),125881,US,Playa Córcega,100–198 Calle del Pitirre,"Rincón, PR  00677",United States,,,travel_and_leisure.beach,PR
POINT (-84.9780064 45.4289599),127770,US,Zoll Street Beach,101 Zoll St,"Harbor Springs, MI  49740",United States,,,travel_and_leisure.beach,MI
POINT (-97.241951 35.2476847),128553,US,Zoom Beach Pavillion,Indian Point Rd,"Norman, OK 73026",United States,,,travel_and_leisure.beach,OK
POINT (-82.1192855 40.0164612),130806,US,Dillon State Park Beach,"Falls Township, OH 43830",United States,,,,travel_and_leisure.beach,OH
POINT (-156.4441243 20.6935156),132863,US,Mokapu Beach,35 Malukai Ln,"Kihei, HI  96753",United States,,,travel_and_leisure.beach,HI
POINT (-67.5535808 44.5612563),137963,US,Ballast Island Ledge,,,,,,travel_and_leisure.beach,ME
POINT (-73.403383 40.9357257),139796,US,Valley Grove Beach,44 Westview Rd,"Northport, NY  11768",United States,,,travel_and_leisure.beach,NY
POINT (-74.6944075 39.147648),142987,US,Ludlam Beach,Boardwalk,"Sea Isle City, NJ 08243",United States,,,travel_and_leisure.beach,NJ
POINT (-117.3010606 33.0548668),143286,US,Encinitas Beach,350 S El Portal St,"Encinitas, CA  92024",United States,,,travel_and_leisure.beach,CA
POINT (-157.7504647 21.4550358),145089,US,North Beach,"Kailua, HI 96734",United States,,,,travel_and_leisure.beach,HI
POINT (-70.6993282 41.9870726),148892,US,Gray's Beach,71 Grays Beach Rd,"Kingston, MA  02364",United States,,,travel_and_leisure.beach,MA
POINT (-81.0228835 24.717234),151479,US,Inch Beach,1025 W Ocean Dr,"Marathon, FL 33050",United States,,,travel_and_leisure.beach,FL
POINT (-82.5708707 27.967552),155352,US,East Tampa Beach,7720 W Courtney Campbell Cswy,"Tampa, FL  33607",United States,,,travel_and_leisure.beach,FL
POINT (-96.2768849 28.6871776),155582,US,Jensen Point,Turtle Bay,TX,United States,,,travel_and_leisure.beach,TX
POINT (-71.254999 43.6194354),155661,US,Mirror Lake Beach,42–68 Lang Pond Rd,"Wolfeboro, NH  03894",United States,,,travel_and_leisure.beach,NH
POINT (-87.3012042 30.3449171),156296,US,Barrancas Beach,"Pensacola, FL  32508",United States,,,,travel_and_leisure.beach,FL
POINT (-82.7384536 27.6356674),160749,US,Fort Desoto 1/2 Way B/n Fort & N. Beach,Mullet Key,FL,United States,,,travel_and_leisure.beach,FL
POINT (-71.026911 42.392412),162339,US,Sheas Beach,135 Library St,"Chelsea, MA  02150",United States,,,travel_and_leisure.beach,MA
POINT (-116.0664075 44.9938019),164750,US,North Beach,"East Side Rd
McCall, ID  83638
United States",,,,,travel_and_leisure.beach,ID
POINT (-71.6538885 41.9133764),165913,US,Difonzo Recreation Area,178 Spring Grove Rd,"Chepachet, RI  02814",United States,,,travel_and_leisure.beach,RI
POINT (-81.8582381 26.3561062),167150,US,Bonita Beach Access,26220 Hickory Blvd,"Bonita Springs, FL  34134",United States,,,travel_and_leisure.beach,FL
POINT (-122.7867335 45.7876237),169707,US,Collins Beach,Sauvie Island,OR,United States,,,travel_and_leisure.beach,OR
POINT (-81.7741927 26.1636195),173764,US,Convention and Visitors Bureau USA Office,,,,,,travel_and_leisure.beach,FL
POINT (-122.5323144 48.7724583),179875,US,Locust Beach,909 Marine Dr,"Bellingham, WA  98225",United States,,,travel_and_leisure.beach,WA
POINT (-65.6444693 18.3779652),182423,US,Playa el Convento,"Fajardo, PR  00738",United States,,,,travel_and_leisure.beach,PR
POINT (-122.477721 47.4980789),190969,US,Sylvan Beach,12014 SW Sylvan Beach Rd,"Vashon, WA  98070",United States,,,travel_and_leisure.beach,WA
POINT (-159.4274358 22.2162457),191032,US,Kalihiwai Beach,3144–3150 Kalihiwai Rd,"Kalihiwai, HI 96754",United States,,,travel_and_leisure.beach,HI
POINT (-70.8257085 42.2642133),193369,US,Black Rock Beach,2 Atlantic Ave,"Hull, MA  02045",United States,,,travel_and_leisure.beach,MA
POINT (-74.0632343 39.9825303),197414,US,Tri-Beach,8 Plainfield Ave,"Lavallette, NJ  08735",United States,,,travel_and_leisure.beach,NJ
POINT (144.7882511 13.5044581),200743,US,Pavilion (B3),"Tamuning, Guam  96913",United States,,,,travel_and_leisure.beach,PR
POINT (-76.3186498 34.8528518),200859,US,"Drum Inlet, North Side","Carteret County, NC",United States,,,,travel_and_leisure.beach,NC
POINT (-122.4183529 37.2445786),205865,US,Pescadero Point Beach,12863–12879 Cabrillo Hwy,"Pescadero, CA  94060",United States,,,travel_and_leisure.beach,CA
POINT (-85.5904514 45.0501692),206364,US,Private Shoreline Beach-white Stone Point,4504 N West Bay Shore Dr,"Leelanau Township, MI  49674",United States,,,travel_and_leisure.beach,MI
POINT (-70.5146625 41.5674742),210981,US,Seconsett Island Causeway,27 Seconsett Island Rd,"Mashpee, MA 02649",United States,,,travel_and_leisure.beach,MA
POINT (-66.633602 18.492439),211640,US,Arecibo Oceanfront Paradise,"Arecibo, PR  00612",United States,,,,travel_and_leisure.beach,PR
POINT (-121.9490469 36.6094649),214291,US,Moss Beach,53–63 17 Mile Dr,"Pebble Beach, CA  93953",United States,,,travel_and_leisure.beach,CA
POINT (-118.4580982 33.9815258),214362,US,Mother's Beach,4101 Admiralty Way,"Marina del Rey, CA  90292",United States,,,travel_and_leisure.beach,CA
POINT (-65.7721806 18.4136212),216486,US,Playa las Picuas,Camino las Picüas,"Río Grande, PR 00745",United States,,,travel_and_leisure.beach,PR
POINT (-81.9502783 26.450491),218914,US,Luke's Beach Club,61 Alva Dr,"Fort Myers Beach, FL  33931",United States,,,travel_and_leisure.beach,FL
POINT (-124.1126993 44.2257714),220020,US,Stonefield Beach,95330 US-101,"Yachats, OR 97498",United States,,,travel_and_leisure.beach,OR
POINT (-96.5087789 28.5277707),223257,US,Indianola Beach,8732–8782 SH-316,"Port Lavaca, TX  77979",United States,,,travel_and_leisure.beach,TX
POINT (-81.4360392 30.5252081),224616,US,A1A South,First Coast Hwy & First Coast Hwy,"Fernandina Beach, FL  32034",United States,,,travel_and_leisure.beach,FL
POINT (-91.8940219 46.8985445),227878,US,French River,5337–5339 N Shore Dr,"Duluth, MN 55804",United States,,,travel_and_leisure.beach,MN
POINT (-89.759122 47.9061526),229937,US,Red Rock Beach,7148–7190 MN-61,"Grand Portage, MN  55605",United States,,,travel_and_leisure.beach,MN
POINT (-74.0971744 40.0511),230524,US,Eagle Point Beach,77–99 Tall Timber Dr,"Brick, NJ  08723",United States,,,travel_and_leisure.beach,NJ
POINT (-70.6634592 41.702598),231281,US,Great Neck,Stony Point Dyke Road,"Wareham, MA",United States,,,travel_and_leisure.beach,MA
POINT (-70.520278 41.793333),231899,US,Sagamore Beach,153 Phillips Rd,"Sagamore Beach, MA  02532",United States,,,travel_and_leisure.beach,MA
POINT (-88.1811047 35.0272983),234277,US,Dry Creek Beach,Hitchcock Lane,"Savannah, TN 38372",United States,,,travel_and_leisure.beach,TN
POINT (-124.0593963 46.4762302),234890,US,North Klipsan,23961 J Pl,"Ocean Park, WA  98640",United States,,,travel_and_leisure.beach,WA
POINT (-86.5800358 45.7128081),243122,US,Private Shoreline Beach-between Mackinaw Beach 1&2,"Garden, MI  49835",United States,,,,travel_and_leisure.beach,MI
POINT (-81.4572137 30.6897747),244713,US,Fernandina Beach,708 San Fernando St,"Fernandina Beach, FL  32034",United States,,,travel_and_leisure.beach,FL
POINT (-134.5684168 58.1928655),246612,US,Young Beach,Admiralty Island,AK,United States,,,travel_and_leisure.beach,AK
POINT (-88.4315783 46.9751027),248186,US,White City Beach,"Lake Linden, MI  49945",United States,,,,travel_and_leisure.beach,MI
POINT (-73.2901557 40.6851047),248781,US,West Islip Beach,100 Beach Dr,"West Islip, NY  11795",United States,,,travel_and_leisure.beach,NY
POINT (-70.7628427 41.6519225),250805,US,Pt. Connett,30–98 Bay Rd,"Mattapoisett, MA  02739",United States,,,travel_and_leisure.beach,MA
POINT (-74.0685287 39.9517224),252413,US,Ortley Beach South,1750 Ocean Ave,"Seaside Heights, NJ  08751",United States,,,travel_and_leisure.beach,NJ
POINT (-134.3863709 58.2729793),259519,US,Sandy Beach,503 St Anns Ave,"Douglas, AK  99824",United States,,,travel_and_leisure.beach,AK
POINT (-87.4008207 36.6405263),259575,US,Business Essentials,1404 Addison Dr,"Clarksville, TN  37042",United States,,,travel_and_leisure.beach,TN
POINT (-71.7819174 41.3267275),259840,US,Atlantic Beach,357 Atlantic Ave,"Westerly, RI  02891",United States,,,travel_and_leisure.beach,RI
POINT (-122.3978251 37.1922588),263574,US,Pistachio Beach,"Pigeon Point Rd and Cabrillo Hwy
Pescadero, CA  94060
United States",,,,,travel_and_leisure.beach,CA
POINT (-118.5788991 33.4496185),269506,US,Ribbon Beach,,,,,,travel_and_leisure.beach,CA
POINT (-122.5156454 48.2911322),271124,US,S Strawberry Point,1828 E Lola Beach Ln,"Oak Harbor, WA 98277",United States,,,travel_and_leisure.beach,WA
POINT (-95.002703 29.394295),271575,US,Galveston Beach,1200 N Amburn Rd,"Texas City, TX  77591",United States,,,travel_and_leisure.beach,TX
POINT (-73.2437146 40.710402),272726,US,Benjamin's Beach,28 Cottage Ave,"Bay Shore, NY 11706",United States,,,travel_and_leisure.beach,NY
POINT (-80.1035607 26.1241259),274440,US,Sebastian Beach,North Fort Lauderdale Beach Drive,"Fort Lauderdale, FL 33316",United States,,,travel_and_leisure.beach,FL
POINT (-114.7888721 36.0435487),283130,US,Boulder Beach,"Logandale, NV  89021",United States,,,,travel_and_leisure.beach,NV
POINT (-84.6186631 45.8463494),283720,US,Windermere Point,7485 Main St,"Mackinac Island, MI  49757",United States,,,travel_and_leisure.beach,MI
POINT (-78.8386418 33.7245661),283802,US,Deephead Swash,5308 N Ocean Blvd,"Myrtle Beach, SC 29577",United States,,,travel_and_leisure.beach,SC
POINT (-72.7405214 40.7685167),286695,US,Cupsogue Beach County Park,975 Dune Rd,"Westhampton Beach, NY 11978",United States,,,travel_and_leisure.beach,NY
POINT (-70.7649701 41.318912),287956,US,Squibnocket Beach,2 Squibnocket Rd,"Chilmark, MA  02535",United States,,,travel_and_leisure.beach,MA
POINT (-74.1794842 40.5204459),288140,US,Huguenot Beach,522 Arbutus Ave,"Staten Island, NY  10312",United States,,,travel_and_leisure.beach,NJ
POINT (-120.6432694 35.1385248),290718,US,Pismo Beach,,,,,,travel_and_leisure.beach,CA
POINT (-122.06568 47.5584138),292430,US,Lake Sammamish State Park - Sunset Beach,"2010 NW Sammamish Rd
Issaquah, WA  98027
United States",,,,,travel_and_leisure.beach,WA
POINT (-87.8306991 42.3132032),294305,US,Nunn Beach,715-799 Ziegemeier St,"North Chicago, IL 60088",United States,,,travel_and_leisure.beach,IL
POINT (-123.0969761 38.4004416),295327,US,Wright's Beach,7095 Highway 1,"Bodega Bay CA, 94923",United States,,,travel_and_leisure.beach,CA
POINT (-85.9035599 45.9611369),300651,US,Private Shoreline Beach-s Of Pentwater,"Gulliver, MI  49840",United States,,,,travel_and_leisure.beach,MI
POINT (-122.8453767 38.1078594),302324,US,Millerton Point,,,,,,travel_and_leisure.beach,CA
POINT (-70.436963 41.6060424),308001,US,Loop Beach,281 Ocean View Ave,"Cotuit, MA 02635",United States,,,travel_and_leisure.beach,MA
POINT (-86.795454 46.4724972),309422,US,Private Shoreline Beach- Au Train Point,N8873 Koski Rd,"Munising, MI  49862",United States,,,travel_and_leisure.beach,MI
POINT (-70.4470496 41.4019936),310688,US,East Beach (chappy),Chappaquiddick Island,MA,United States,,,travel_and_leisure.beach,MA
POINT (-117.2511111 32.8772222),311892,US,Torrey Pines City Beach,Scripps Coastal Reserve,"La Jolla, CA  92037",United States,,,travel_and_leisure.beach,CA
POINT (-122.2877507 38.1787638),312947,US,Glass Beach,"Napa, CA  94559",United States,,,,travel_and_leisure.beach,CA
POINT (-80.6412272 28.4061398),315775,US,Kayak Beach,"SR-528 W
Cape Canaveral, FL  32920
United States",,,,,travel_and_leisure.beach,FL
POINT (-170.2225115 57.2115887),316079,US,North Beach,"St. Paul, AK",United States,,,,travel_and_leisure.beach,AK
POINT (-86.2172083 42.9327533),316563,US,Zwemer Beach,17401 Stanton St,"West Olive, MI  49460",United States,,,travel_and_leisure.beach,MI
POINT (-83.4381584 45.0547763),318204,US,Thompson Beach,460 S State Ave,"Alpena, MI  49707",United States,,,travel_and_leisure.beach,MI
POINT (-70.3847909 43.4851079),320603,US,Bayview Beach,187 Bayview Rd,"Saco, ME  04072",United States,,,travel_and_leisure.beach,ME
POINT (-118.1275804 33.7515745),320902,US,The Bay,"Long Beach, CA  90803",United States,,,,travel_and_leisure.beach,CA
POINT (-78.7261389 33.8001844),322459,US,J and L Ventures,612 39th Ave S,"North Myrtle Beach, SC  29582",United States,,,travel_and_leisure.beach,SC
POINT (-78.1700279 40.3107388),324315,US,Tatman Run Beach,"Huntingdon, PA  16652",United States,,,,travel_and_leisure.beach,PA
POINT (-73.2636595 42.3268001),326667,US,Lenox Town Beach,65 Walker St,"Lenox, MA  01240",United States,,,travel_and_leisure.beach,MA
POINT (-97.2025895 27.619836),331084,US,JP Luby Beach,14813 SH-361,"Corpus Christi, TX  78418",United States,,,travel_and_leisure.beach,TX
POINT (-79.9323147 32.7699762),332318,US,The Beach House,,,,,,travel_and_leisure.beach,SC
POINT (-70.0577222 41.3125408),335711,US,Coatue Beach,Nantucket Island,MA,United States,,,travel_and_leisure.beach,MA
POINT (-75.1852279 40.7224918),335852,US,Hummers Beach,1149–1167 River Rd,"Phillipsburg, NJ  08865",United States,,,travel_and_leisure.beach,PA
POINT (-122.45357 37.48448),336395,US,Half Moon Bay State Beach,Half Moon Bay State Beach,"Half Moon Bay, CA  94019",United States,,,travel_and_leisure.beach,CA
POINT (-70.6315112 42.6196863),342395,US,Good Harbor Beach,99 Thatcher Rd,"Gloucester, MA  01930",United States,,,travel_and_leisure.beach,MA
POINT (-87.65422 41.99253),345497,US,Glenlake Avenue Beach,940 W Glenlake Ave,IL  60660,United States,,,travel_and_leisure.beach,IL
POINT (-85.7591191 30.1437332),346393,US,Biltmore Beach,5515 Gulf Dr,"Panama City, FL  32408",United States,,,travel_and_leisure.beach,FL
POINT (-122.3915881 47.7946645),349994,US,Beach North Of Point Wells,"Edmonds, WA 98020",United States,,,,travel_and_leisure.beach,WA
POINT (-65.4543919 18.1456178),359846,US,Playa Monte Santo,Vieques,"Florida, PR  00765",United States,,,travel_and_leisure.beach,PR
POINT (-81.2372173 31.4372135),360567,US,Cabretta Beach,East West Autobahn Trail,"Sapelo Island, GA  31327",United States,,,travel_and_leisure.beach,GA
POINT (-119.1924253 34.1569991),363604,US,City Of Port Hueneme,,,,,,travel_and_leisure.beach,CA
POINT (-117.7858186 33.5423426),364121,US,Main Beach,S Coast Highway and Broadway St,"Laguna Beach, CA 92651",United States,,,travel_and_leisure.beach,CA
POINT (-118.7383783 34.0332479),364760,US,Dan Blocker Beach,26000 Pacific Coast Hwy,"Malibu, CA 90265",United States,,,travel_and_leisure.beach,CA
POINT (-70.3606568 43.4393915),364968,US,Middle Beach (biddeford),60 Milestretch Rd,"Biddeford, ME  04005",United States,,,travel_and_leisure.beach,ME
POINT (-93.075533 45.013629),369360,US,Lake Gervais Beach,2420 Edgerton St,"Saint Paul, MN  55117",United States,,,travel_and_leisure.beach,MN
POINT (-72.2085892 40.9374484),370372,US,Beach,Long Island,NY,United States,,,travel_and_leisure.beach,NY
POINT (-73.2744591 42.4721154),375796,US,Ramsey Beach,401–429 Lakeway Dr,"Pittsfield, MA  01201",United States,,,travel_and_leisure.beach,MA
POINT (-81.7884524 26.2061234),376256,US,Moorings Park,120 Moorings Park Dr,"Naples, FL  34105",United States,,,travel_and_leisure.beach,FL
POINT (-72.3433301 41.0428213),379989,US,Shell Beach,1–85 Oak Tree Ln,"Shelter Island, NY  11965",United States,,,travel_and_leisure.beach,NY
POINT (-73.9719794 40.6625478),380247,US,Prospect Park Dog Beach,95 Prospect Park W,"Brooklyn, NY 11215",United States,,,travel_and_leisure.beach.dog_beach,NY
POINT (-70.0066584 43.7548298),382508,US,Stover's Cove,15 McKinney Rd,"Harpswell, ME  04079",United States,,,travel_and_leisure.beach,ME
POINT (-83.8532325 33.3518372),382903,US,Pheasant Beach,2792 Turtle Cove Trailway,"Monticello, GA  31064",United States,,,travel_and_leisure.beach,GA
POINT (-93.2351722 44.9119921),389662,US,Nokomis Beach,E Lake Nokomis Pkwy,"Minneapolis, MN  55417",United States,,,travel_and_leisure.beach,MN
POINT (-66.2622714 18.4776249),390016,US,Kikita Beach,Calle Kennedy,"Dorado, PR  00646",United States,,,travel_and_leisure.beach,PR
POINT (-154.811366 19.512371),396871,US,Lighthouse Beach,"Pahoa, HI  96778",United States,,,,travel_and_leisure.beach,HI
POINT (-65.6891309 18.366103),397682,US,Playa Azul Beach,"Luquillo, PR  00773",United States,,,,travel_and_leisure.beach,PR
POINT (-158.1411587 21.3748966),401660,US,Kalanianaole Beach,89-001–89-047 Laumania Ave,HI  96792,United States,,,travel_and_leisure.beach,HI
POINT (-119.2671468 34.2486825),404188,US,Ventura Harbor Village,,,,,,travel_and_leisure.beach,CA
POINT (-121.8534903 36.9184331),404381,US,Manresa State Beach,548 Sea Horse Dr,"Watsonville, CA  95076",United States,,,travel_and_leisure.beach,CA
POINT (-122.6316032 48.7102598),405090,US,Neontawanta Beach,Portage Island,WA,United States,,,travel_and_leisure.beach,WA
POINT (-71.5102778 42.0086111),411755,US,State Park Beach,203 Pond St,"Woonsocket, RI  02895",United States,,,travel_and_leisure.beach,RI
POINT (-83.9277041 45.4902011),412496,US,Manitou Beach,Manitou Beach Rd,"Rogers City, MI 49779",United States,,,travel_and_leisure.beach,MI
POINT (-70.607603 43.174374),412896,US,Short Sands Beach,"Ocean Ave
York Beach, ME 03910
United States",,,,,travel_and_leisure.beach,ME
POINT (-160.21723 21.89324),413329,US,Ki‘eki‘e Beach,Niʻihau,HI,United States,,,travel_and_leisure.beach,HI
POINT (-81.8067748 24.5451792),414085,US,Beach Patio,Gardiner St,"Key West, FL  33040",United States,,,travel_and_leisure.beach,FL
POINT (-76.9607721 38.2500119),425640,US,Colonial Beach,2811 Riverview Dr,"Colonial Beach, VA  22443",United States,,,travel_and_leisure.beach,VA
POINT (-80.851575 31.987534),432085,US,Little Tybee Island Beach,1927 Chatham Ave,"Tybee Island, GA  31328",United States,,,travel_and_leisure.beach,GA
POINT (-75.973857 36.8492676),432222,US,Virginia Beach Oceanfront,,,,,,travel_and_leisure.beach,VA
POINT (-121.4915586 35.9835887),432811,US,Mill Creek Picnic Area Beach,64691–64937 CA-1,"Big Sur, CA  93920",United States,,,travel_and_leisure.beach,CA
POINT (-71.5556073 41.1518147),440175,US,Mohegan Bluffs Beach,Mohegan Trail,"Block Island, RI 02807",United States,,,travel_and_leisure.beach,RI
POINT (-93.6941099 41.7383043),444556,US,Oak Grove Picnic Area,4899 NW 98th Ave,"Polk City, IA  50226",United States,,,travel_and_leisure.beach,IA
POINT (-119.5205571 34.390983),444861,US,Carpinteria State Beach,5361 Sixth St,"Carpinteria, CA  93013",United States,,,travel_and_leisure.beach,CA
POINT (-70.5552408 41.5494217),447397,US,Menauhant Beach,420 Menauhant Rd,"East Falmouth, MA  02536",United States,,,travel_and_leisure.beach,MA
POINT (-158.2012153 21.5820243),449947,US,Mokuleia Beach,"68-945 Farrington Hwy
Waialua, HI  96791
United States",,,,,travel_and_leisure.beach,HI
POINT (-123.3287463 38.566425),450332,US,Gerstle Cove Reserve,"Jenner, CA  95450",United States,,,,travel_and_leisure.beach,CA
POINT (-75.4993285 35.3542838),454176,US,Avon Beach,39311 Wahoo Cir,"Avon, NC 27915",United States,,,travel_and_leisure.beach,NC
POINT (-67.0514448 17.9726894),454558,US,Los Pescadores,Puerto Rico,"Parguera, PR  00667",United States,,,travel_and_leisure.beach,PR
POINT (-65.9876195 18.4591437),458259,US,La Pozita Azul Beach,Carretera PR-187,"Loíza, PR  00772",United States,,,travel_and_leisure.beach,PR
POINT (-71.9777178 43.5816883),462231,US,Kilton Pond Huff Beach,983 Main St,"Grafton, NH  03240",United States,,,travel_and_leisure.beach,NH
POINT (-73.9915443 40.4602032),463744,US,Area G,"Highlands, NJ  07732",United States,,,,travel_and_leisure.beach,NJ
POINT (-119.1897619 39.3729653),464149,US,Silver Springs Beach,"Silver Springs, NV 89429",United States,,,,travel_and_leisure.beach,NV
POINT (-67.2121755 18.3842346),464913,US,Pico De Piedra Beach,Camino Playa,"Aguada, PR  00602",United States,,,travel_and_leisure.beach,PR
POINT (-87.2078982 44.9253452),468694,US,Clark Lake Beach,5241 S Lake Rd,"Sturgeon Bay, WI  54235",United States,,,travel_and_leisure.beach,WI
POINT (-119.0203859 34.0749048),468739,US,Sandy Dune,9000 Pacific Coast Hwy,"Malibu, CA  90265",United States,,,travel_and_leisure.beach,CA
POINT (-122.8552561 38.0161045),473268,US,Santa Maria Beach,"Inverness, CA  94937",United States,,,,travel_and_leisure.beach,CA
POINT (-72.9868126 41.2351396),481299,US,Oyster River Beach,67 Ocean Ave,"West Haven, CT  06516",United States,,,travel_and_leisure.beach,CT
POINT (-71.508614 41.3750697),484054,US,Galilee Beach Club Beach,190 Sand Hill Cove Rd,"Narragansett, RI 02882",United States,,,travel_and_leisure.beach,RI
POINT (-74.5253186 40.9227455),488764,US,WML Beach 2,51 W Lake Shore Dr,"Rockaway, NJ  07866",United States,,,travel_and_leisure.beach,NJ
POINT (-124.395833 42.5498872),497162,US,Ophir Beach,34161 Ophir Rd,"Gold Beach, OR  97444",United States,,,travel_and_leisure.beach,OR
