fid,name,latitude,longitude,formatted_address,street_number,route,city,county,state,zip,country,governing_jurisdiction,governing_body,geocode_status,raw_addr1,raw_addr2,raw_addr3,raw_addr4,raw_addr5
302324,Millerton Point,38.1078594,-122.8453767,"4553+4R Millerton, CA, USA",,,Millerton,Marin County,California,94956,United States,municipal,City of Millerton,OK,,,,,
311892,Torrey Pines City Beach,32.8772222,-117.2511111,"2301 Black's Bch Wy, La Jolla, CA 92037, USA",2301,Black's Beach Way,La Jolla,San Diego County,California,92037,United States,municipal,City of La Jolla,OK,Scripps Coastal Reserve,"La Jolla, CA  92037",United States,,
312947,Glass Beach,38.1787638,-122.2877507,"5PH6+GV American Canyon, CA, USA",,,American Canyon,Napa County,California,,United States,municipal,City of American Canyon,OK,"Napa, CA  94559",United States,,,
320902,The Bay,33.7515745,-118.1275804,"5533 E Ocean Blvd, Long Beach, CA 90803, USA",5533,East Ocean Boulevard,Peninsula,Los Angeles County,California,90803,United States,municipal,City of Peninsula,OK,"Long Beach, CA  90803",United States,,,
336395,Half Moon Bay State Beach,37.48448,-122.45357,"FGMW+QH Half Moon Bay, CA, USA",,,Half Moon Bay,San Mateo County,California,94019,United States,state,California State Parks,OK,Half Moon Bay State Beach,"Half Moon Bay, CA  94019",United States,,
363604,City Of Port Hueneme,34.1569991,-119.1924253,"550 Park Ave, Port Hueneme, CA 93041, USA",550,Park Avenue,Port Hueneme,Ventura County,California,93041,United States,municipal,City of Port Hueneme,OK,,,,,
364121,Main Beach,33.5423426,-117.7858186,"163 N Coast Hwy, Laguna Beach, CA 92651, USA",163,North Coast Highway,Laguna Beach,Orange County,California,92651,United States,municipal,City of Laguna Beach,OK,S Coast Highway and Broadway St,"Laguna Beach, CA 92651",United States,,
364760,Dan Blocker Beach,34.0332479,-118.7383783,"26000 Pacific Coast Hwy, Malibu, CA 90265, USA",26000,Pacific Coast Highway,Central Malibu,Los Angeles County,California,90265,United States,municipal,City of Central Malibu,OK,26000 Pacific Coast Hwy,"Malibu, CA 90265",United States,,
404188,Ventura Harbor Village,34.2486825,-119.2671468,"1901 Spinnaker Dr, Ventura, CA 93001, USA",1901,Spinnaker Drive,Ventura,Ventura County,California,93001,United States,municipal,City of Ventura,OK,,,,,
404381,Manresa State Beach,36.9184331,-121.8534903,"W49W+9J La Selva Beach, CA, USA",,,La Selva Beach,Santa Cruz County,California,95076,United States,state,California State Parks,OK,548 Sea Horse Dr,"Watsonville, CA  95076",United States,,
432811,Mill Creek Picnic Area Beach,35.9835887,-121.4915586,"XGM5+C9 Lucia, CA, USA",,,Lucia,Monterey County,California,93920,United States,municipal,City of Lucia,OK,64691–64937 CA-1,"Big Sur, CA  93920",United States,,
444861,Carpinteria State Beach,34.390983,-119.5205571,"5401 4th St, Carpinteria, CA 93013, USA",5401,4th Street,Carpinteria,Santa Barbara County,California,93013,United States,state,California State Parks,OK,5361 Sixth St,"Carpinteria, CA  93013",United States,,
450332,Gerstle Cove Reserve,38.566425,-123.3287463,"HM8C+HG Timber Cove, CA, USA",,,Timber Cove,Sonoma County,California,,United States,municipal,City of Timber Cove,OK,"Jenner, CA  95450",United States,,,
468739,Sandy Dune,34.0749048,-119.0203859,"9000 CA-1, Malibu, CA 90265, USA",9000,California 1,Malibu,Ventura County,California,90265,United States,municipal,City of Malibu,OK,9000 Pacific Coast Hwy,"Malibu, CA  90265",United States,,
473268,Santa Maria Beach,38.0161045,-122.8552561,"248V+CV Inverness, CA, USA",,,Inverness,Marin County,California,,United States,municipal,City of Inverness,OK,"Inverness, CA  94937",United States,,,
530952,Tahoe Pines HOA Pier and Beach,39.1035718,-120.1600825,"4000 W Lake Blvd, Homewood, CA 96141, USA",4000,West Lake Boulevard,Homewood,Placer County,California,96141,United States,municipal,City of Homewood,OK,2–36 Grand Ave,"Homewood, CA 96145",United States,,
558762,Lighthouse Field State Beach,36.9532827,-122.0292615,"Lighthouse Field State Beach, 644-670 W Cliff Dr, Santa Cruz, CA 95060, USA",644-670,West Cliff Drive,Santa Cruz,Santa Cruz County,California,95060,United States,state,California State Parks,OK,701 W Cliff Dr,"Santa Cruz, CA 95060",United States,,
589629,City Beach,33.7626213,-118.1669712,"2 Junipero Ave, Long Beach, CA 90803, USA",2,Junipero Avenue,Bluff Park,Los Angeles County,California,90803,United States,municipal,City of Bluff Park,OK,2100 E Ocean Blvd,"Long Beach, CA  90803",United States,,
590644,Sand Dollar Beach,35.9240069,-121.4684883,"WGFJ+JJ Plaskett, CA, USA",,,Plaskett,Monterey County,California,93920,United States,municipal,City of Plaskett,OK,North Pacific Ocean,"Big Sur, CA 93920",United States,,
673559,Sullivans Beach,33.4618592,-118.5224759,"FF6H+P2 Two Harbors, CA, USA",,,Two Harbors,Los Angeles County,California,90704,United States,municipal,City of Two Harbors,OK,"Santa Catalina Island, CA 90704
United States",,,,
722652,Refugio State Beach,34.4627015,-120.0708354,"Refugio State Beach Campground, 10 Refugio Beach Rd, Goleta, CA 93117, USA",10,Refugio Beach Road,Goleta,Santa Barbara County,California,93117,United States,state,California State Parks,OK,10 Refugio Beach Rd,"Goleta, CA 93117",United States,,
754436,St. Ann's Beach,33.5362348,-117.7798963,"125 St Ann's Dr, Laguna Beach, CA 92651, USA",125,Saint Ann's Drive,Laguna Beach,Orange County,California,92651,United States,municipal,City of Laguna Beach,OK,125 St Ann's Dr,"Laguna Beach, CA  92651",United States,,
772580,Scripps Beach,32.8639981,-117.2549987,"8606 Kennel Way, La Jolla, CA 92037, USA",8606,Kennel Way,La Jolla,San Diego County,California,92037,United States,municipal,City of La Jolla,OK,8608 Kennel Way,"La Jolla, CA  92037",United States,,
788364,Crescent Bay Beach,33.5466788,-117.8017158,"100 Barranca Wy, Laguna Beach, CA 92651, USA",100,Barranca Way,Laguna Beach,Orange County,California,92651,United States,municipal,City of Laguna Beach,OK,,,,,
805813,Manhattan Beach,37.429806,-122.4398655,"CHH6+W3 Half Moon Bay, CA, USA",,,Half Moon Bay,San Mateo County,California,94019,United States,municipal,City of Half Moon Bay,OK,Stairs to Canada Verde Beach,"Half Moon Bay, CA  94019",United States,,
812041,Cove Beach,40.0248532,-124.0659456,"305 Machi Rd, Whitethorn, CA 95589, USA",305,Machi Road,Whitethorn,Humboldt County,California,95589,United States,municipal,City of Whitethorn,OK,1176 Lower Pacific Dr,"Whitethorn, CA 95589",United States,,
817541,Dockweiler State Beach,33.9388028,-118.4406853,"8251 Vista Del Mar, Playa Del Rey, CA 90293, USA",8251,Vista Del Mar,Playa del Rey,Los Angeles County,California,90293,United States,state,California State Parks,OK,12000 Vista del Mar,"Playa del Rey, CA 90293",United States,,
846978,East Beach,33.7387341,-118.3749715,"PJQG+F2 Rancho Palos Verdes, CA, USA",,,Rancho Palos Verdes,Los Angeles County,California,,United States,municipal,City of Rancho Palos Verdes,OK,,,,,
919415,Elk Fence North Beach,38.1809811,-122.9306227,"53J9+9Q Marshall, CA, USA",,,Marshall,Marin County,California,94940,United States,municipal,City of Marshall,OK,,,,,
927574,North Beach,32.6861111,-117.1925,"Coronado Dog Beach, Ocean Blvd, San Diego, CA 92118, USA",,Ocean Boulevard,San Diego,San Diego County,California,92118,United States,municipal,City of San Diego,OK,To Coronado City Beach at Ocean Dr,"Coronado, CA  92118",United States,,
949830,Calawee Cove Beach,38.9991837,-120.0987357,"XWX2+MG Emerald Bay, CA, USA",,,Emerald Bay,El Dorado County,California,96150,United States,municipal,City of Emerald Bay,OK,Calawee Cove Trail,"South Lake Tahoe, CA  96150",United States,,
980229,Frankie’s Beach,33.4652858,-118.5253693,"FF8F+4V Two Harbors, CA, USA",,,Two Harbors,Los Angeles County,California,90704,United States,municipal,City of Two Harbors,OK,West End Road,"Avalon, CA  90704",United States,,
1022715,Wilson Creek Beach,41.6032318,-124.1002017,"15018 Blue Star Memorial Hwy, Klamath, CA 95548, USA",15018,Blue Star Memorial Highway,Klamath,Del Norte County,California,95548,United States,municipal,City of Klamath,OK,Redwood Highway And Wilson Creek Rd,"Klamath, CA  95548",United States,,
1039582,Redondo Beach Pier,33.8401536,-118.3912361,"119 W Torrance Blvd #24, Redondo Beach, CA 90277, USA",119,West Torrance Boulevard,South Redondo,Los Angeles County,California,90277,United States,municipal,City of South Redondo,OK,100 - 500 Fishermans Wharf,"Redondo Beach, CA 90277",United States,,
1059361,Cuyler Harbor Beach Landing,34.0470026,-120.3527035,846X2JWW+RW,,,,,,,,municipal,,OK,Canyon Trail,CA,United States,,
1066609,Steamboat Beach,38.305419,-121.574964,"12414 CA-160, Courtland, CA 95615, USA",12414,California 160,Courtland,Sacramento County,California,95615,United States,municipal,City of Courtland,OK,12414 CA-160,"Courtland, CA 95615",United States,,
1093168,Natural Bridges State Beach,36.9524827,-122.0576354,"2531 W Cliff Dr, Santa Cruz, CA 95060, USA",2531,West Cliff Drive,Santa Cruz,Santa Cruz County,California,95060,United States,state,California State Parks,OK,2531 W Cliff Dr,"Santa Cruz, CA  95060",United States,,
1147515,Lester Beach,39.0004635,-120.1010186,"2V2X+5H Meeks Bay, CA, USA",,,Meeks Bay,El Dorado County,California,96150,United States,municipal,City of Meeks Bay,OK,Lester Beach Rd,"South Lake Tahoe, CA  96150",United States,,
1160918,Kellogg's Beach,32.7101281,-117.2368026,"449 San Antonio Ave, San Diego, CA 92106, USA",449,San Antonio Avenue,Point Loma,San Diego County,California,92106,United States,municipal,City of Point Loma,OK,,,,,
1163237,Morro Rock Beach,35.3747743,-120.8637285,"94FP+WG Morro Bay, CA, USA",,,Morro Bay,San Luis Obispo County,California,,United States,municipal,City of Morro Bay,OK,1700 Embarcadero,"Morro Bay, CA 93442",United States,,
1190386,Corcoran Lagoon Beach,36.9598199,-121.9846451,"22130 E Cliff Dr, Santa Cruz, CA 95062, USA",22130,East Cliff Drive,Santa Cruz,Santa Cruz County,California,95062,United States,municipal,City of Santa Cruz,OK,"E Cliff Dr and Coastview Dr
Santa Cruz, CA  95062
United States",,,,
1273141,Wildcat Beach,37.9632585,-122.7883233,"X676+8M Bolinas, CA, USA",,,Bolinas,Marin County,California,94924,United States,municipal,City of Bolinas,OK,Point Reyes National Seashore,"Bolinas, CA 94924",United States,,
1282829,Victoria Beach,33.5183695,-117.7619576,"17 Lagunita Dr, Laguna Beach, CA 92651, USA",17,Lagunita Drive,Laguna Beach,Orange County,California,92651,United States,municipal,City of Laguna Beach,OK,2713 Victoria Dr,"Laguna Beach, CA  92651",United States,,
1300193,Gallinas Beach,38.0154777,-122.5049757,"800 Upper Rd, San Rafael, CA 94903, USA",800,Upper Road,San Rafael,Marin County,California,94903,United States,municipal,City of San Rafael,OK,609 N San Pedro Rd,"Santa Venetia, CA  94903",United States,,
1317321,Windansea Beach,32.8281502,-117.2802847,"6700 Neptune Pl, La Jolla, CA 92037, USA",6700,Neptune Place,La Jolla,San Diego County,California,92037,United States,municipal,City of La Jolla,OK,6800 Neptune Pl,"La Jolla, CA 92037",United States,,
1347592,Elm Grove Beach,33.667919,-117.33728,"614-758 Lakeshore Dr, Lake Elsinore, CA 92530, USA",614-758,Lakeshore Drive,Lake Elsinore,Riverside County,California,92530,United States,municipal,City of Lake Elsinore,OK,500 Lakeshore Dr,"Lake Elsinore, CA 92530",United States,,
1348332,Seal Beach,34.7378529,-120.6265047,"P9QF+49 Vandenberg Space Force Base, CA, USA",,,Vandenberg Space Force Base,Santa Barbara County,California,,United States,municipal,City of Vandenberg Space Force Base,OK,,,,,
1383791,Point Dume,34.0035063,-118.8072574,"29377 Cliffside Dr, Malibu, CA 90265, USA",29377,Cliffside Drive,Central Malibu,Los Angeles County,California,90265,United States,municipal,City of Central Malibu,OK,Cliffside Dr & Birdview Ave,Malibu,California,90265,United States
1387065,San Mateo Coast State Beaches,37.2965829,-122.4068453,"7HWV+J7 San Gregorio, CA, USA",,,San Gregorio,San Mateo County,California,,United States,state,California State Parks,OK,Cabrillo Hwy S,"San Gregorio, CA 94074",United States,,
1403201,Harbor Cove Beach,34.2467448,-119.2680029,"1860 Spinnaker Dr, Ventura, CA 93001, USA",1860,Spinnaker Drive,Ventura,Ventura County,California,93001,United States,municipal,City of Ventura,OK,1878- 1998 Spinnaker Dr,"Ventura, CA 93001",United States,,
1411049,Bodega Head Beach,38.3043097,-123.0647063,"8W3P+P4 Bodega Bay, CA, USA",,,Bodega Bay,Sonoma County,California,,United States,municipal,City of Bodega Bay,OK,CA 94923,United States,,,
1421678,Westport/union Landing,39.6603198,-123.786537,"39601 Shoreline Hwy, Westport, CA 95488, USA",39601,Shoreline Highway,Westport,Mendocino County,California,95488,United States,municipal,City of Westport,OK,Westport-Union Landing State Beach,CA,United States,,
1427735,Fish Rock Beach at Anchor Bay,38.804133,-123.579341,"35498 Shoreline Hwy, Gualala, CA 95445, USA",35498,Shoreline Highway,Gualala,Mendocino County,California,95445,United States,municipal,City of Gualala,OK,35400 CA-1,"Gualala, CA  95445",United States,,
1446200,Spanish Landing Park,32.7284925,-117.2094709,"4300 N Harbor Dr, San Diego, CA 92101, USA",4300,North Harbor Drive,Point Loma,San Diego County,California,92101,United States,municipal,City of Point Loma,OK,4104 N Harbor Dr,"San Diego, CA  92101",United States,,
1463229,Sand Cove Beach,38.5992528,-121.5430952,"Sand Cove Park, 2005 Garden Hwy, Sacramento, CA 95833, USA",2005,Garden Highway,North Sacramento,Sacramento County,California,95833,United States,municipal,City of North Sacramento,OK,2005 Garden Hwy,"Sacramento, CA  95833",United States,,
1472076,Catfish Beach,40.3111616,-121.1774826,"8R6F+F2 Chester, CA, USA",,,Chester,Plumas County,California,96020,United States,municipal,City of Chester,OK,"Westwood, CA  96137",United States,,,
1478384,Shark's Cove,36.9635596,-121.9616484,"4370 Opal Cliff Dr, Santa Cruz, CA 95062, USA",4370,Opal Cliff Drive,Opal Cliffs,Santa Cruz County,California,95062,United States,municipal,City of Opal Cliffs,OK,4170 Opal Cliff Dr,"Santa Cruz, CA  95062",United States,,
1489635,Gallatin Beach,40.558314,-120.7702051,"H65H+8W Spaulding, CA, USA",,,Spaulding,Lassen County,California,96130,United States,municipal,City of Spaulding,OK,"Susanville, CA  96130",United States,,,
1500796,Ventura Cove Park,32.7730729,-117.2450589,"240 Gleason Rd, San Diego, CA 92109, USA",240,Gleason Road,Mission Beach,San Diego County,California,92109,United States,municipal,City of Mission Beach,OK,1100 W Mission Bay Dr,"San Diego, CA  92109",United States,,
1516107,Naples Beach,37.463062,-122.429164,"527 Main St, Half Moon Bay, CA 94019, USA",527,Main Street,Half Moon Bay,San Mateo County,California,94019,United States,municipal,City of Half Moon Bay,OK,527 Main St,"Half Moon Bay, CA  94019",United States,,
1532880,Buck's Beach,39.2229561,-120.0083411,"9898 Lake St, Kings Beach, CA 96143, USA",9898,Lake Street,Kings Beach,Placer County,California,96143,United States,municipal,City of Kings Beach,OK,9910 Lake St,"Kings Beach, CA  96143",United States,,
1544540,Mountain Road Beach,33.5310866,-117.775388,"1401 S Coast Hwy, Laguna Beach, CA 92651, USA",1401,South Coast Highway,Laguna Beach,Orange County,California,92651,United States,municipal,City of Laguna Beach,OK,101 Mountain Rd,"Laguna Beach, CA  92651",United States,,
1553963,Long Cove Beach,38.1517405,-122.9111552,"532Q+MG Sacramento Landing, CA, USA",,,Sacramento Landing,Marin County,California,94937,United States,municipal,City of Sacramento Landing,OK,6150 Pierce Point Rd,"Inverness, CA  94937",United States,,
1576641,Santa Monica bike trail,34.0236084,-118.5127734,"445 CA-1, Santa Monica, CA 90402, USA",445,California 1,North of Montana,Los Angeles County,California,90402,United States,municipal,City of North of Montana,OK,445 Pacific Coast Hwy,"Santa Monica, CA  90402",United States,,
1581105,Arroyo Burro Beach,34.4027865,-119.7433816,"Arroyo Burro Beach County Park, 2981 Cliff Dr, Santa Barbara, CA 93109, USA",2981,Cliff Drive,West Mesa,Santa Barbara County,California,93109,United States,municipal,City of West Mesa,OK,2981 1/2 Cliff Dr,"Santa Barbara, CA  93109",United States,,
1594332,Bayside Beach,33.6024404,-117.8831345,"1911 Bayside Dr, Corona Del Mar, CA 92625, USA",1911,Bayside Drive,Corona Del Mar,Orange County,California,92625,United States,municipal,City of Corona Del Mar,OK,1901 Bayside Dr,"Corona Del Mar, CA  92625",United States,,
1620294,Mickey's Beach,37.8874001,-122.631212,"V9P9+XG Stinson Beach, CA, USA",,,Stinson Beach,Marin County,California,94970,United States,municipal,City of Stinson Beach,OK,,,,,
1627153,White Point Beach,33.715764,-118.319191,"1799 W Paseo Del Mar, San Pedro, CA 90731, USA",1799,West Paseo Del Mar,San Pedro,Los Angeles County,California,90731,United States,municipal,City of San Pedro,OK,1799 W Paseo del Mar,"San Pedro, CA 90732",United States,,
1627495,Stonesteps Beach,33.0546086,-117.3011434,"340w S El Portal St, Encinitas, CA 92024, USA",340w,South El Portal Street,Encinitas,San Diego County,California,92024,United States,municipal,City of Encinitas,OK,340 S El Portal St,"Encinitas, CA  92024",United States,,
1638315,New Brighton State Beach,36.9784723,-121.9351722,"1516 Park Ave, Capitola, CA 95010, USA",1516,Park Avenue,Capitola,Santa Cruz County,California,95010,United States,state,California State Parks,OK,1500 Park Ave,"Capitola, CA  95010",United States,,
1647172,Anita Street Beach,33.5347962,-117.7780522,"1003 S Coast Hwy, Laguna Beach, CA 92651, USA",1003,South Coast Highway,Laguna Beach,Orange County,California,92651,United States,municipal,City of Laguna Beach,OK,Gaviota Dr & Anita St,"Laguna Beach, CA  92651",United States,,
1672701,Marine Street Beach,32.8357506,-117.2815311,"304 Neptune Pl, La Jolla, CA 92037, USA",304,Neptune Place,La Jolla,San Diego County,California,92037,United States,municipal,City of La Jolla,OK,304-300 Sea Ln,"La Jolla, CA 92037",United States,,
1674961,Little Dume Beach,34.0111425,-118.7937272,"29208 Cliffside Dr, Malibu, CA 90265, USA",29208,Cliffside Drive,Central Malibu,Los Angeles County,California,90265,United States,municipal,City of Central Malibu,OK,6988 Wildlife Rd,"Malibu, CA 90265",United States,,
1681190,Salt Creek Beach Park,33.4766816,-117.7204156,"Salt Creek Beach Park, Salt Creek Beach, 33333 Pacific Coast Hwy, Dana Point, CA 92629, USA",33333,Pacific Coast Highway,Monarch Beach,Orange County,California,92629,United States,municipal,City of Monarch Beach,OK,33333 S Pacific Coast Hwy,"Dana Point, CA 92629",United States,,
1689752,Warm Waters Jetty Beach,33.1411419,-117.3406638,"Carlsbad Blvd & Beach Tower 32, Carlsbad, CA 92008, USA",,,Carlsbad,San Diego County,California,92008,United States,municipal,City of Carlsbad,OK,4315 Carlsbad Blvd,"Carlsbad, CA  92008",United States,,
1696335,Trinidad State Beach,41.1353823,-124.1546596,"Sue-Meg Park, California 95570, USA",,,,Humboldt County,California,95570,United States,state,California State Parks,OK,4150 Patricks Point Dr,"Trinidad, CA  95570",United States,,
1783598,Venice,33.9801416,-118.4692247,"2800 Ocean Front Walk, Venice, CA 90291, USA",2800,Ocean Front Walk,Venice,Los Angeles County,California,90291,United States,municipal,City of Venice,OK,The Strand Marvin Braude Bike Trail-Santa Monica-Venice Beach,"Santa Monica, CA  90405",United States,,
1888420,Fish Rock Beach,38.8030588,-123.5818298,"35200 CA-1, Gualala, CA 95445, USA",35200,California 1,Gualala,Mendocino County,California,95445,United States,municipal,City of Gualala,OK,35200 CA-1,"Gualala, CA  95445",United States,,
1891683,Long Beach Latin Soul,33.7756095,-118.146459,"713 Termino Ave, Long Beach, CA 90804, USA",713,Termino Avenue,Eastside,Los Angeles County,California,90804,United States,municipal,City of Eastside,OK,713 Termino Ave,"Long Beach, CA  90804",United States,,
1892675,Avila Beach,35.1785351,-120.7341349,"445 Front St, San Luis Obispo, CA 93401, USA",445,Front Street,San Luis Obispo,San Luis Obispo County,California,93401,United States,municipal,City of San Luis Obispo,OK,"Avila Beach, CA 93424",United States,,,
1904901,Devereux Beach,34.4087613,-119.8755598,"7045 Seaway Dr, Isla Vista, CA 93117, USA",7045,Seaway Drive,Isla Vista,Santa Barbara County,California,93117,United States,municipal,City of Isla Vista,OK,"Goleta, CA  93117",United States,,,
1915003,Davenport Landing Beach,37.0242955,-122.2161412,"Davenport Landing Beach, 335 Davenport Landing Rd, Davenport, CA 95017, USA",335,Davenport Landing Road,Davenport,Santa Cruz County,California,95017,United States,municipal,City of Davenport,OK,,,,,
1940033,Sandy Beach,39.803735,-121.4411652,"13759 CA-70, Oroville, CA 95965, USA",13759,California 70,Oroville,Butte County,California,95965,United States,municipal,City of Oroville,OK,13597–13601 CA-70,"Oroville, CA  95965",United States,,
1941540,Dana Point Headlands Beach,33.4607552,-117.7082896,"Harbor Point Conservation Park, 34558 Scenic Dr, Dana Point, CA 92629, USA",34558,Scenic Drive,Dana Point,Orange County,California,92629,United States,municipal,City of Dana Point,OK,24200 Dana Point Harbor Dr,"Dana Point, CA  92629",United States,,
1959098,San Carpoforo Creek Beach,35.7634033,-121.3229656,"1550 Slo San Simeon Rd, Cambria, CA 93428, USA",1550,Slo San Simeon Road,Cambria,San Luis Obispo County,California,93428,United States,municipal,City of Cambria,OK,18550 Cabrillo Hwy,"San Simeon, CA 93452",United States,,
1972165,North Bird Rock,32.8080838,-117.2655907,"411 Sea Ridge Dr, La Jolla, CA 92037, USA",411,Sea Ridge Drive,La Jolla,San Diego County,California,92037,United States,municipal,City of La Jolla,OK,403 Sea Ridge Dr,"La Jolla, CA 92037",United States,,
1978733,Mandalay State Beach,34.2012677,-119.2506862,"6P2X+GP Oxnard, CA, USA",,,Oxnard,Ventura County,California,,United States,state,California State Parks,OK,Mandalay State Beach,"Oxnard, CA 93035",United States,,
2005449,Totuava Beach,33.5000923,-117.7443386,"31831 CA-1, Laguna Beach, CA 92651, USA",31831,California 1,Laguna Beach,Orange County,California,92651,United States,municipal,City of Laguna Beach,OK,31951 S Coast Hwy,"Laguna Beach, CA  92651",United States,,
2007820,South Beach,41.7448065,-124.1773781,"245 Anchor Way, Crescent City, CA 95531, USA",245,Anchor Way,Crescent City,Del Norte County,California,95531,United States,municipal,City of Crescent City,OK,128 Anchor Way,"Crescent City, CA  95531",United States,,
2047198,Gibraltar Beach,33.4210228,-118.4071214,"CHCV+C5 Avalon, CA, USA",,,Avalon,Los Angeles County,California,90704,United States,municipal,City of Avalon,OK,Santa Catalina Island,CA,United States,,
2052963,Morro Strand State Beach,35.3867186,-120.8645143,"94PP+M5 Morro Bay, CA, USA",,,Morro Bay,San Luis Obispo County,California,,United States,state,California State Parks,OK,3202 Beachcomber Dr,"Morro Bay, CA  93442",United States,,
2065434,Klamath Beach,41.511448,-124.0285727,"Klamath Beach Rd, Klamath, CA 95548, USA",,Klamath Beach Road,Klamath,Del Norte County,California,95548,United States,municipal,City of Klamath,OK,,,,,
2068359,Wages Creek Beach,39.6521664,-123.7844864,"38525 CA-1, Westport, CA 95488, USA",38525,California 1,Westport,Mendocino County,California,95488,United States,municipal,City of Westport,OK,CA-1,"Westport, CA  95488",United States,,
2106935,Gamboa Beach,36.0714445,-121.6044332,"61098 CA-1, Big Sur, CA 93920, USA",61098,California 1,Big Sur,Monterey County,California,93920,United States,municipal,City of Big Sur,OK,,,,,
2171416,Potbelly Beach,36.9774506,-121.9288474,"797 Las Olas Dr, Aptos, CA 95003, USA",797,Las Olas Drive,Aptos,Santa Cruz County,California,95003,United States,municipal,City of Aptos,OK,Potbelly Beach Rd,"Aptos, CA  95003",United States,,
2171636,Oceano Dunes State Rec Area,35.0718878,-120.6296859,"39CC+Q4 Oceano, CA, USA",,,Oceano,San Luis Obispo County,California,,United States,municipal,City of Oceano,OK,"San Luis Obispo County, CA",United States,,,
2181355,Mitchell’s Cove Beach,36.9527847,-122.0413551,"339 W Cliff Dr, Santa Cruz, CA 95060, USA",339,West Cliff Drive,Santa Cruz,Santa Cruz County,California,95060,United States,municipal,City of Santa Cruz,OK,1200–1240 W Cliff Dr,"Santa Cruz, CA  95060",United States,,
2195319,Morro Bay Dog Beach,35.4150228,-120.8744896,"100 Toro Creek Rd, Cayucos, CA 93430, USA",100,Toro Creek Road,Cayucos,San Luis Obispo County,California,93430,United States,municipal,City of Cayucos,OK,Toro Creek Road,"Cayucos, CA 93430",United States,,
2200958,Seascape Sur Beach,32.984953,-117.2732162,"539 S Sierra Ave, Solana Beach, CA 92075, USA",539,South Sierra Avenue,Solana Beach,San Diego County,California,92075,United States,municipal,City of Solana Beach,OK,501 S Sierra Ave,"Solana Beach, CA  92075",United States,,
2228365,Shark Fin Cove Loop,36.9996799,-122.179909,"Hwy 1 &, Bonny Doon Rd, Davenport, CA 95017, USA",,Bonny Doon Road,Davenport,Santa Cruz County,California,95017,United States,municipal,City of Davenport,OK,CA-1,"Davenport, CA  95017",United States,,
2265001,Paradise Cove Beach,34.0196656,-118.7874091,"28128 Pacific Coast Hwy, Malibu, CA 90265, USA",28128,Pacific Coast Highway,Central Malibu,Los Angeles County,California,90265,United States,municipal,City of Central Malibu,OK,28128 Pacific Coast Hwy,"Malibu, CA  90265",United States,,
