id,name,latitude,longitude,city,county,access_type,dogs_allowed,parking,restrooms,managing_agency
1337,Crystal Cove State Park,33.573673,-117.839919,between Corona del Mar and Laguna Beach,Orange,Beach Access,,Yes,Yes,
1338,Crystal Cove Historic District,33.574948,-117.840356,,Orange,Beach Access,,Yes,Yes,
1339,Crystal Cove State Park (Reef Point),33.566602,-117.830338,,Orange,Beach Access,,Yes,Yes,
1340,El Moro Visitor Center,33.56647,-117.822281,1 mi. S. of Los Trancos Canyon,Orange,Natural Resource,,Yes,Yes,
1341,Moro Canyon,33.561231,-117.821762,,Orange,Campground,,Yes,Yes,
1342,Laguna Coast Wilderness Park,33.566501,-117.764854,Laguna Beach,Orange,Natural Resource,,Yes,Yes,
1343,Smithcliffs View Park,33.54976,-117.803866,Laguna Beach,Orange,Park,No,No,No,
1344,Crescent Bay (Laguna Beach),33.547255,-117.802013,Laguna Beach,Orange,Beach Access,,No,Yes,
1345,Crescent Bay Point Park,33.546791,-117.803819,Laguna Beach,Orange,Visual Access,,Yes,No,
1346,Shaw's Cove,33.546491,-117.798236,Laguna Beach,Orange,Beach Access,,Yes,No,
1347,Fisherman's Cove,33.545359,-117.794874,Laguna Beach,Orange,Beach Access,,Yes,No,
1348,Divers Cove,33.545162,-117.79476,Laguna Beach,Orange,Beach Access,,Yes,Yes,
1349,Picnic Beach,33.544608,-117.793419,Laguna Beach,Orange,Beach Access,,Yes,Yes,
1350,Heisler Park,33.543819,-117.791029,Laguna Beach,Orange,Beach Access,,Yes,Yes,
1351,Rockpile Beach,33.543416,-117.790514,Laguna Beach,Orange,Beach Access,,No,No,
1352,Main Beach (Laguna Beach),33.542156,-117.785489,Laguna Beach,Orange,Beach Access,,Yes,Yes,
1353,Pacific Marine Mammal Center,33.57309,-117.76247,Laguna Beach,Orange,Natural Resource,,Yes,Yes,
1354,Central Laguna Beaches (Sleepy Hollow Ln. to Thalia St.),33.537125,-117.780594,Laguna Beach,Orange,Beach Access,,Yes,No,
1355,Central Laguna Beaches (Anita St. to Pearl St.),33.534528,-117.778499,Laguna Beach,Orange,Beach Access,No,Yes,No,
1356,Wood's Cove,33.526588,-117.770485,Laguna Beach,Orange,Beach Access,,No,No,
1357,Ruby Street Park,33.52605,-117.769543,Laguna Beach,Orange,Visual Access,,No,No,
1358,Moss Point,33.525413,-117.768686,Laguna Beach,Orange,Beach Access,,No,No,
1359,Beach Access (Coast Hwy.),33.539553,-117.78129,Laguna Beach,Orange,Beach Access,No,No,No,
1360,Victoria Beach,33.52054,-117.763609,Laguna Beach,Orange,Beach Access,,Yes,No,
1361,Treasure Island Park,33.51344,-117.755711,Laguna Beach,Orange,Beach Access,Yes,Yes,Yes,
1362,Treasure Island Beach,33.513577,-117.756834,Laguna Beach,Orange,Beach Access,,Yes,Yes,
1363,Aliso Beach Park,33.509368,-117.751923,South Laguna,Orange,Beach Access,,Yes,Yes,
1364,Camel Point Beach,33.507008,-117.750605,South Laguna,Orange,Beach Access,,Yes,Yes,
1365,Camel Point Beach Access #2,33.507783,-117.749597,South Laguna,Orange,Beach Access,No,No,Yes,
1366,Camel Point Beach Access #3,33.507397,-117.749052,South Laguna,Orange,Beach Access,No,No,Yes,
1367,West Street Beach,33.504423,-117.747944,South Laguna,Orange,Beach Access,,Yes,No,
1368,Table Rock Beach,33.502285,-117.74656,South Laguna,Orange,Beach Access,,Yes,No,
1369,Thousand Steps Beach,33.498261,-117.74027,South Laguna,Orange,Beach Access,,Yes,Yes,
1370,Aliso and Wood Canyons Wilderness Park,33.552135,-117.718174,Laguna Niguel,Orange,Natural Resource,,Yes,Yes,
1371,Salt Creek Beach Park,33.476079,-117.721919,Dana Point,Orange,Beach Access,,Yes,Yes,
1372,Blufftop Path (Ritz-Carlton Hotel),33.475583,-117.718125,Dana Point,Orange,Visual Access,,No,No,
1373,Three Arch Cove Beach,33.48477,-117.734118,South Laguna,Orange,Beach Access,,No,No,
1374,Strand Beach,33.466384,-117.716273,Dana Point,Orange,Beach Access,,Yes,Yes,
1375,Dana Point Headlands,33.460868,-117.714647,Dana Point,Orange,Visual Access,,Yes,Yes,
1376,Nature Interpretive Center,33.461608,-117.711364,Dana Point,Orange,Historic/Cultural Site,,Yes,Yes,
1377,Ken Sampson Lookout,33.463719,-117.706587,Dana Point,Orange,Visual Access,,Yes,No,
1378,Baby Beach,33.46269,-117.70433,,Orange,Beach Access,,Yes,Yes,
1379,Heritage Park,33.462911,-117.697063,Dana Point,Orange,Park,Yes,Yes,No,
1380,Lantern Bay Park,33.463198,-117.692986,Dana Point,Orange,Park,,Yes,Yes,
1381,Dana Point Harbor,33.460714,-117.692512,Dana Point,Orange,Boat Access,,Yes,Yes,
1382,Catalina Express Terminal,33.460124,-117.692016,Dana Point,Orange,Boat Access,,Yes,Yes,
1383,Dana Point Harbor Linear Park,33.458415,-117.700003,Dana Point Harbor,Orange,Park,,Yes,Yes,
1384,Ocean Institute,33.461342,-117.706747,Dana Point,Orange,Beach Access,,Yes,Yes,
1385,Doheny State Beach,33.462436,-117.686164,Dana Point,Orange,Beach Access,,Yes,Yes,
1386,Louise Leyden Park,33.462018,-117.677306,Capistrano Beach,Orange,Visual Access,,Yes,No,
1387,Capistrano Beach Park,33.455112,-117.668552,Capistrano Beach,Orange,Beach Access,,Yes,Yes,
1388,Poche Beach,33.440618,-117.64511,Capistrano Beach,Orange,Beach Access,,Yes,No,
1389,Ole Hanson Beach Club,33.431793,-117.63127,San Clemente,Orange,Beach Access,,Yes,Yes,
1390,San Clemente City Beach,33.430503,-117.631455,San Clemente,Orange,Beach Access,,Yes,Yes,
1391,San Clemente Beach Trail Access (Dije Ct.),33.429053,-117.628404,S. of Dije Ct.,Orange,Beach Access,No,Yes,No,
1392,San Clemente City Beach (W. El Portal),33.427381,-117.627339,aka Calle Oso,Orange,Beach Access,No,Yes,No,
1393,San Clemente Beach Trail Access (W. Mariposa),33.425143,-117.624508,,Orange,Beach Access,No,Yes,No,
1394,Leslie Park,33.411689,-117.611668,San Clemente,Orange,Park,,No,No,
1395,San Clemente Beach Trail,33.42306,-117.623371,San Clemente,Orange,Natural Resource,Yes,No,No,
1396,Linda Lane City Park,33.423262,-117.622536,San Clemente,Orange,Park,Yes,Yes,No,
1397,Linda Lane Blufftop View Area,33.42358,-117.621717,San Clemente,Orange,Visual Access,No,No,No,
1398,San Clemente City Beach (Corto Ln.),33.422553,-117.620987,,Orange,Beach Access,No,Yes,No,
1399,San Clemente Municipal Pier,33.419557,-117.620202,San Clemente,Orange,Pier,,Yes,Yes,
1400,San Clemente City Beach (Avenida Esplanade),33.416551,-117.61696,,Orange,Beach Access,No,Yes,Yes,
1401,San Clemente Beach Trail Access (Calle Los Alamos),33.411222,-117.6102,,Orange,Beach Access,No,Yes,No,
1402,San Clemente City Beach (Plaza a la Playa),33.408706,-117.608946,,Orange,Beach Access,No,Yes,No,
1403,Calafia Beach Park,33.405504,-117.606237,San Clemente,Orange,Beach Access,,Yes,Yes,
1404,San Clemente State Beach,33.402724,-117.602689,San Clemente,Orange,Beach Access,,Yes,Yes,
